"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Columba palumbus","Woodpigeon",51.299114,-0.58855,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.26464,-0.718606,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.169682,-0.320726,1238284800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.642659,-0.751336,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.713386,-0.011154,940982400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.444998,-0.094791,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.728883,-0.133559,1397779200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.740415,-0.64726,1274572800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.334506,0.517958,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.533669,-0.018997,1410652800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.431932,-0.426217,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.449947,0.373176,1617753600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.326254,-0.60207,1577318400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.550712,0.501031,1325116800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.25382,-0.561277,1624233600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.438604,0.264667,1589068800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.479509,-0.006943,1477699200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.260766,-0.403405,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.358839,-0.342545,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.357801,-0.608291,1458604800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.670192,0.377441,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.519742,0.254276,1458432000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.888925,0.229107,982108800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.401504,0.083115,1392854400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.562747,-0.147584,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.390131,-0.039577,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.354662,-0.069816,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.753024,-0.241226,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.365927,-0.213,1562457600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.509053,-0.164173,1683763200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.217503,0.303919,1209168000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.640257,0.057908,1596240000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.598465,-0.131692,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.380416,0.003119,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.276486,-0.245148,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.772608,-0.711519,1571097600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.308275,-0.602616,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.304656,0.215024,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.704124,-0.619399,1490227200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.798872,-0.014645,990748800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.567434,0.559672,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.780838,-0.298132,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.391311,-0.111395,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.725183,-0.184389,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.525951,-0.768945,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.891267,-0.482883,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.129281,-0.036351,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.378572,-0.471155,1635033600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.899099,-0.395411,1487635200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.490853,-0.150499,1487721600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.329383,0.331057,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.444527,-0.066029,1438214400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.478009,0.079399,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.232184,-0.289805,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.628263,-0.318296,1645920000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.334238,0.072886,1553817600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.19971,-0.54865,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.510837,0.001629,1644537600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.300918,-0.380494,1366848000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.36221,-0.600975,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.887164,-0.1924,1424131200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.345702,-0.730705,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.621814,-0.506332,1569110400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.436705,-0.1383,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.630618,-0.491594,1447804800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.689013,-0.171369,1233446400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.461044,0.021044,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.899099,-0.395411,1406937600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.618011,0.288035,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.670192,0.377441,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.19971,-0.54865,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.643627,-0.144289,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.908479,-0.424152,1371254400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.640759,0.029025,1700870400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.408582,-0.067546,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.191586,-0.620459,1516665600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.591894,0.243409,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.640257,0.057908,1636502400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.413016,0.191496,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.282942,-0.381127,1396137600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.753024,-0.241226,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.566801,0.588497,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.732333,-0.365121,1674950400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.524683,-0.019387,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.452794,-0.0225,1555545600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.571734,-0.147219,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.498446,-0.063748,1595548800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.431738,-0.411838,1234137600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.116395,-0.072618,1275609600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.5165,-0.725964,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.279034,0.142095,1288310400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.524849,-0.668072,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.27403,0.399943,1362355200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.600884,-0.290429,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.647837,-0.433206,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.584532,0.156434,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.397695,0.50705,1703203200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.309671,0.416152,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.612972,0.533343,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.213986,0.253627,1396051200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.420925,-0.282769,1527638400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.13754,0.006884,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.167093,-0.149177,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.466488,-0.32425,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.719932,-0.445193,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.768283,-0.363822,1463702400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.427489,-0.124289,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.54055,-0.480154,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.236391,0.011183,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.796851,-0.16701,1174694400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.625855,0.346224,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.557765,-0.421878,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.213431,0.282237,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.096944,-0.266235,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.641255,0.000141,1177113600000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.344059,-0.58717,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.571043,-0.103956,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.191586,-0.620459,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.349234,-0.299811,1218931200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.511325,-0.027173,1403827200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.248204,-0.160251,1636848000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.253102,-0.50398,1569283200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.75736,-0.55982,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.092115,0.033478,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.902572,-0.031881,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.547751,-0.054443,1445904000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.302796,-0.201107,1482364800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.07536,-0.038635,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.484463,-0.323591,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.47003,0.021441,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.304656,0.215024,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.22512,0.139591,1525651200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.73548,-0.270872,1208131200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.812323,-0.645108,1570752000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.375154,0.290273,1622332800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.278938,-0.417113,1016928000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.092115,0.033478,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.446992,-0.548019,1360800000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.358221,-0.299478,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.342454,0.116334,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.484353,0.223722,1673395200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.181731,-0.549215,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.213986,0.253627,1462924800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.5937,-0.3539128,1655942400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.632514,-0.014693,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.278506,0.170749,1642723200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.703072,-0.532601,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.187305,0.238014,1501459200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.785015,-0.276228,1437264000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.298228,-0.516858,1617580800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.358138,-0.637006,1242432000000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.462737,-0.079656,1552262400000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.705582,-0.749604,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.169682,-0.320726,1417132800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.365037,-0.155573,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.518265,-0.178216,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.392558,0.319892,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.634839,0.346688,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.327409,-0.702505,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.427733,0.573434,1268611200000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.176306,-0.163114,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.461891,-0.317221,1195084800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.317435,-0.616687,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.272489,-0.618037,95212800000,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.400985,-0.154127,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.278348,-0.374119,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.196563,0.224149,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.683594,-0.417507,,"England","United Kingdom"
"Columba palumbus","Woodpigeon",51.731093,-0.27828,1390089600000,"England","United Kingdom"
