"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Vulpes vulpes","Red Fox",51.702125,0.118604,1239580800000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.565,-0.079,1656979200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.44578,-0.4041988,1149465600000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.32478,-0.2353964,1244419200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.36828,-0.4595023,1592179200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.32659,-0.5061976,1275868800000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.311114,-0.157736,1623542400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.41985,-0.210897,,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.3777,-0.78011,1351728000000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.41441110000004,-0.6510963000000117,1564790400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.54989,-0.4527995,1461542400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.34390000000001,-0.4993999999999882,1508976000000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.34978,0.5157937,1180915200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.103858,-0.149404,1562544000000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.62305687869998,-0.47993800590001057,1698364800000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.190563,-0.212636,1456272000000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.819654,-0.187849,1448150400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.540749,-0.329455,1584662400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.2971,-0.17949999999999636,1553817600000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.338,0.439,1718755200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.41278,-0.08780402,1301270400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.333727,0.101576,1429401600000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.14198,0.2676025,1555891200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.347076,0.109366,1731024000000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.39769,0.00410363,1144022400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.334,0.432,1719964800000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.541647,-0.329422,1609804800000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.41878,0.07170429,1086566400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.247668,-0.586257,1511568000000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.58088,-0.3607039,1561334400000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.376116,-0.636472,21859200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.467595,-0.777715,1409443200000,"England","United Kingdom"
"Vulpes vulpes","Red Fox",51.41078,-0.01929524,1049068800000,"England","United Kingdom"
