"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Anas platyrhynchos","Mallard",51.459265,0.121733,1390435200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.464292,0.546695,1177459200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.519742,0.254276,1496361600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.561803,0.400639,1427932800000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.115966,0.205987,1121126400000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.093094,-0.023603,1312070400000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.825553,-0.622945,1562457600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.408818,-0.081916,1548806400000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.410678,-0.520412,1316304000000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.441553,0.106522,1447545600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.399357,-0.053559,1545091200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.295923,-0.344812,1613347200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.441678,-0.483438,1492300800000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.441312,-0.145307,1546560000000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.450852,-0.497526,650937600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.464566,-0.194752,1195689600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.220758,0.132228,1211932800000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.383011,-0.15485,1592092800000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.694717,-0.250722,1668729600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.398877,-0.024827,1523145600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.649829,0.492028,1620518400000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.655432,-0.331747,1551571200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.446947,0.516944,1589587200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.589319,-0.428002,416275200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.528809,0.002418,1261958400000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.393751,-0.269413,1109462400000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.32227,-0.300808,834883200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.216135,0.139174,1681084800000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.408374,-0.347944,1521763200000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.731093,-0.27828,1097452800000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.185068,-0.148457,1552953600000,"England","United Kingdom"
"Anas platyrhynchos","Mallard",51.412355,-0.31185,1476576000000,"England","United Kingdom"
