"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Ardea cinerea","Grey Heron",51.465528,0.48917,1218844800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.704401,-0.011548,1138406400000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.196331,-0.641785,1576368000000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.172564,-0.535197,1525996800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.630618,-0.491594,1417564800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.575163,-0.745971,1318723200000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.145053,-0.493179,1492732800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.730665,-0.249334,1679788800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.580037,-0.781917,,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.076304,-0.095698,1618185600000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.550053,-0.198582,1613260800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.55901,-0.5746341,1667606400000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.206733,-0.097482,1593993600000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.320053,-0.465926,1599091200000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.497235,0.008237,1522281600000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.443076,-0.260354,1569628800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.676309,-0.222504,1475798400000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.592184,-0.658885,1278547200000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.568898,-0.255555,1222560000000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.381622,-0.068682,1362182400000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.461492,0.467355,1554508800000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.745305,-0.328439,1642464000000,"England","United Kingdom"
"Ardea cinerea","Grey Heron",51.217329,-0.519458,1642032000000,"England","United Kingdom"
