"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Cygnus olor","Mute Swan",51.256738,-0.131247,1523404800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.785025,0.006495,387331200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.231116,-0.218227,1608076800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.676465,-0.562387,1334534400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.586595,0.041046,-277344000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.77604,0.006096,1601164800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.695415,-0.011942,1100304000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.816575,-0.282278,1050624000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.597055,-0.045118,1381363200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.287224,0.185502,1549497600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.630431,-0.477152,1363219200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.484353,0.223722,1486771200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.66315,0.49999,1494806400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.437825,-0.210195,1242432000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.387372,-0.45649,1318723200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.72892,-0.444884,1418774400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.536878,-0.545161,1513900800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.73548,-0.270872,1122768000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.199195,0.081133,1095379200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.43826,-0.238955,1211068800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.630431,-0.477152,1369008000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.858557,-0.389593,589334400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.66315,0.49999,1273449600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.217503,0.303919,1145664000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.25382,-0.561277,1482796800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.573284,-0.248172,1448150400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.66315,0.49999,1498089600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.630431,-0.477152,1695772800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.758069,0.005299,1247529600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.350452,-0.385929,1589068800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.812323,-0.645108,1680998400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.637612,-0.0506,1333756800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.570809,-0.089535,1449964800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.539784,0.377848,,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.496988,0.022633,1004400000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.652153,-0.115029,1696204800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.630618,-0.491594,1629244800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.635637,0.064924,1645056000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.114277,-0.222725,1105228800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.497967,-0.034953,1177718400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.799358,-0.043631,1465430400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.77604,0.006096,1233360000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.422554,-0.397773,1467936000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.630431,-0.477152,1302998400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.645783,-0.628398,1008460800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.573284,-0.248172,1218585600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.588069,-0.045503,1657152000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.77604,0.006096,1416096000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.295719,-0.330475,1620604800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.646444,-0.332077,1400889600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.858557,-0.389593,503452800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.561129,-0.695865,1557705600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.56758,-0.169031,-471484800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.459265,0.121733,1583020800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.447561,0.488193,1593907200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.093094,-0.023603,1125014400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.509053,-0.164173,1520899200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.319288,-0.408549,1229299200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.585677,-0.493083,1389398400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.403368,-0.312181,1352851200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.267216,-0.553692,1567900800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.327043,0.445775,1503014400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.56111,-0.04666,1379980800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.794257,-0.007597,1072483200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.579322,-0.060312,1334188800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.749083,0.004901,880070400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.491951,0.296123,1604793600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.765285,-0.161043,1118707200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.77604,0.006096,1537574400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.506221,0.008632,1623456000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.479449,-0.287773,1209427200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.821312,-0.644838,1677628800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.412766,-0.340595,1354665600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.588069,-0.045503,1698019200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.488893,-0.669119,1279324800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.524096,0.261699,1471737600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.762441,-0.269842,1265155200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.81733,-0.042852,1492041600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.671066,0.09546,1235347200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.77604,0.006096,1373673600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.404578,-0.398401,1544313600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.427146,-0.404805,1583625600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.744466,0.01194,1050710400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.4389,-0.282095,1300665600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.47688,-0.2341761,1677974400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.474425,-0.251962,1632096000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.603838,-0.506922,1279497600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.40438,-0.384031,1602979200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.588069,-0.045503,1576281600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.267216,-0.553692,1451779200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.49361,0.209766,1146614400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.499612,-0.135737,1526342400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.418439,0.141416,1444867200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.441553,0.106522,1514764800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.731093,-0.27828,1326499200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.568119,0.069078,1663718400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.433693,0.286006,1265414400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.447676,-0.267375,1478995200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.221467,-0.175638,217296000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.639419,-0.476851,1305417600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.685629,-0.576563,1418688000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.422554,-0.397773,1686441600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.488709,0.231137,1302134400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.421754,-0.34027,1564272000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.211342,-0.10445,1111708800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.267216,-0.553692,1583798400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.570809,-0.089535,1592697600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.66315,0.49999,1537315200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.451217,-0.526298,1483574400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.53987,0.139901,1131235200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.73548,-0.270872,1233273600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.637612,-0.0506,1100390400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.536152,0.550705,1651968000000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.536014,-0.163089,1320451200000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.56758,-0.169031,1350604800000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.387391,-0.147488,1189641600000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.718343,-0.329433,966902400000,"England","United Kingdom"
"Cygnus olor","Mute Swan",51.39438,-0.312512,1522454400000,"England","United Kingdom"
