"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1333584000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.446947,0.516944,1587168000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.731927,-0.336173,1334361600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.370311,-0.205645,1676764800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.464242,-0.489888,1244160000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.098421,-0.073366,1295136000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1487635200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.374357,-0.492847,1313798400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.727472,-0.046736,1133913600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.731927,-0.336173,1582070400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.460183,-0.202123,1515888000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.455417,0.085569,1438905600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1568073600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.455417,0.085569,1374278400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.542617,0.233773,1487980800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.464242,-0.489888,1525046400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.460183,-0.202123,1553385600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.273073,0.220673,1555286400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.4,-0.2,1677369600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1508112000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.457888,-0.058267,1703980800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.455417,0.085569,1685836800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.183221,0.216352,1628985600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.555896,-0.631103,1199836800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.372422,-0.349238,1647648000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.460183,-0.202123,1241222400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.552177,-0.342739,1591920000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.455417,0.085569,1453939200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.457888,-0.058267,1675123200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.357118,0.512016,1669075200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.273073,0.220673,1293408000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.464242,-0.489888,1246406400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1565481600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.374357,-0.492847,1539043200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.545272,0.089675,1289088000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.642053,-0.339465,1360108800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1568246400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.368024,-0.062071,1629676800000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.545272,0.089675,1533600000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.370311,-0.205645,1608595200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1226966400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.370311,-0.205645,1408147200000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.45277,0.229384,1583625600000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.455417,0.085569,1508544000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.814827,0.102124,1503360000000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.460183,-0.202123,1356998400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.547751,-0.054443,1476230400000,"England","United Kingdom"
"Falco peregrinus","Peregrine",51.368024,-0.062071,1617926400000,"England","United Kingdom"
