"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Milvus milvus","Red Kite",51.365561,0.081484,1552780800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.823766,-0.477897,1367625600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.709561,-0.344231,1600560000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.77604,0.006096,1596672000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.825553,-0.622945,,"England","United Kingdom"
"Milvus milvus","Red Kite",51.554125,-0.486914,1395792000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.466007,-0.633794,1463443200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.761793,-0.226394,1700352000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.557489,-0.775307,1462924800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.72096,-0.6197349,1655337600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.262632,-0.546669,1575331200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.284471,-0.495791,1453939200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.098421,-0.073366,1488067200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.443499,-0.289117,1634169600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.280437,-0.20915,1615507200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.274672,0.134724,1677196800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.4623,-0.345997,1428451200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.554125,-0.486914,,"England","United Kingdom"
"Milvus milvus","Red Kite",51.91167,-0.329538,1215993600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.691381,-0.330426,1662076800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.460183,-0.202123,1494201600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.621814,-0.506332,1661299200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.363367,-0.701489,1700352000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.076304,-0.095698,1580601600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.374357,-0.492847,1494028800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.4623,-0.345997,1531094400000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.731927,-0.336173,1396137600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.644007,-0.483924,1389744000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.645783,-0.628398,,"England","United Kingdom"
"Milvus milvus","Red Kite",51.280437,-0.20915,1652659200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.557489,-0.775307,1477440000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.298409,-0.531196,1605744000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.57187,-0.77695,1648944000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.416143,-0.59933,1696550400000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.907186,-0.038948,1655596800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.647382,-0.772886,,"England","United Kingdom"
"Milvus milvus","Red Kite",51.280437,-0.20915,1303689600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.185843,0.073376,,"England","United Kingdom"
"Milvus milvus","Red Kite",51.647382,-0.772886,1653436800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.802996,0.007293,1641081600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.735669,-0.625679,1487203200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.669893,-0.099831,1661212800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.750056,-0.704918,1640995200000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.731927,-0.336173,1654992000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.45277,0.229384,1623542400000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.819654,-0.187849,,"England","United Kingdom"
"Milvus milvus","Red Kite",51.825553,-0.622945,1538697600000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.731927,-0.336173,1304380800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.76389,-0.371227,1645920000000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.464242,-0.489888,1556236800000,"England","United Kingdom"
"Milvus milvus","Red Kite",51.91167,-0.329538,1239753600000,"England","United Kingdom"
