"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Passer domesticus","House Sparrow",51.524439,-0.004982,1701993600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.709561,-0.344231,1501977600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.571734,-0.147219,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.212869,0.310847,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.111067,-0.022837,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.372014,-0.320518,1201824000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.386329,0.175848,1230595200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.631523,0.043063,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.186395,-0.234262,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.084586,-0.052523,1503792000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.335413,-0.616146,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.579083,-0.045889,1154995200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.582272,-0.247826,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.399357,-0.053559,1461974400000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.300755,-0.731945,1400025600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.58609,0.069895,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.371918,-0.025987,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.278348,-0.374119,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.691381,-0.330426,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.569368,-0.003016,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.199449,0.06683,817776000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.899296,-0.409939,1524960000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.547785,-0.35011,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.525193,0.204087,1271116800000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.810377,-0.485601,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.31349,-0.315481,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.131814,-0.193466,1433116800000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.373797,-0.140853,1534291200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.309588,-0.717354,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.644526,-0.202067,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.858557,-0.389593,291427200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.518928,-0.221431,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.345676,-0.070194,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.104851,-0.194517,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.59798,-0.3952587,1656115200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.640003,0.072349,1465948800000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.308446,-0.616958,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.752807,-0.226746,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.466735,0.431641,1662508800000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.941962,-0.248394,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.863058,0.169731,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.46178,-0.022112,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.808421,-0.340611,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.471248,-0.0505,1113782400000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.712257,-0.221095,1633046400000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.295399,0.228923,1563667200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.4251,0.019457,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.899296,-0.409939,1631059200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.353623,-0.292468,1209340800000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.582055,-0.233401,1553126400000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.524439,-0.004982,1541721600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.447589,0.265112,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.625654,-0.145023,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.578946,-0.680923,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.449755,0.150077,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.421956,-0.354645,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.176081,-0.148817,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.493338,0.22416,1429056000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.883616,0.025413,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.647837,-0.433206,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.327567,-0.716853,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.734614,-0.212976,1110758400000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.642934,-0.100958,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.255809,-0.073959,1445904000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.412148,-0.297478,1578441600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.554876,-0.220029,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.907186,-0.038948,1361664000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.476482,-0.395884,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.341136,0.188065,893289600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.434959,-0.670687,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.28122,0.486361,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.416849,-0.024052,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.436705,-0.1383,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.89285,0.011295,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.488495,-0.006552,1301011200000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.308446,-0.616958,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.290554,-0.000794,1337472000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.279322,-0.445776,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.413284,0.177128,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.301443,-0.115087,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.431738,-0.411838,1533600000000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.382713,0.36251,1610236800000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.253643,-0.546953,1529625600000,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.113169,-0.151332,,"England","United Kingdom"
"Passer domesticus","House Sparrow",51.643627,-0.144289,,"England","United Kingdom"
