"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Phasianus colchicus","Pheasant",51.651951,-0.779991,926121600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.267216,-0.553692,1521072000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.767041,-0.276912,1638489600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.300918,-0.380494,1698192000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.728883,-0.133559,1646870400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.412404,-0.664152,1459382400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.465528,0.48917,1584403200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.832796,-0.165551,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.894779,-0.104892,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.317759,0.459633,1108684800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.765285,-0.161043,1396915200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.344232,-0.601523,1460246400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.785436,-0.305208,1338163200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.592829,-0.716612,1264636800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.300267,-0.043408,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.747762,-0.190728,1306454400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.786257,-0.363172,1272412800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.729339,-0.162502,1289088000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.647382,-0.772886,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.059019,-0.139219,1695340800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.700377,-0.68463,1270425600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.19266,-0.35567,1412467200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.799021,-0.31195,1239926400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.466007,-0.633794,1553212800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.692938,-0.135038,1270080000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.820216,0.051589,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.279034,0.142095,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.870496,-0.280224,1680393600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.81733,-0.042852,1160870400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.728883,-0.133559,1396051200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.248808,0.312649,1491004800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.66315,0.49999,1694649600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.762441,-0.269842,1458864000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.538534,0.211942,1250640000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.446947,0.516944,1240704000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.298409,-0.531196,1594512000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.64603,-0.303185,1211068800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.255094,-0.030995,1271808000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.412355,-0.31185,1394323200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.827725,-0.443095,1476230400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.809944,0.123657,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1606608000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.621814,-0.506332,1138320000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.446947,0.516944,1290297600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.302076,-0.466525,1197158400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.697558,-0.453195,1208822400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.561129,-0.695865,1480723200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.28372,-0.438458,1291075200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.812957,-0.050296,1304985600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.279034,0.142095,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.489253,0.202353,1541808000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.789614,-0.283302,1658620800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.470475,0.46784,1456963200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.206836,-0.40527,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.630431,-0.477152,1337472000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.198683,0.109738,1461888000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.70596,0.154968,1277683200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.465528,0.48917,926035200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.220758,0.132228,1490140800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.299276,-0.265796,1684972800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.55979,-0.580495,1617062400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.283335,-0.409792,1243987200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.062939,-0.103383,1214697600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.819918,-0.528808,1051315200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.744253,-0.256052,1115424000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.217503,0.303919,1235779200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.0798,-0.323983,1682035200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.732333,-0.365121,1212624000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.292116,0.164219,1240617600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.851282,0.074782,1303948800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.412766,-0.340595,1153267200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.824918,-0.238427,1339286400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.287756,0.156843,1403481600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.201652,-0.061904,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.715518,-0.141348,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.877692,-0.476076,1682467200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.922121,0.13622,1335744000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.387391,-0.147488,1664928000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1251763200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.302796,-0.201107,1525564800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.678879,-0.099455,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.77021,-0.508685,1212796800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.879055,-0.25084,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.342454,0.116334,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.677159,-0.620219,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.214208,-0.290471,1212883200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.621814,-0.506332,1239926400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.94361,-0.06646,1215475200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.812323,-0.645108,1584316800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.194583,-0.49872,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.767041,-0.276912,1425427200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.80256,-0.246551,1195344000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.5677,-0.493677,1558310400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.786257,-0.363172,1572307200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.554125,-0.486914,1539216000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.785436,-0.305208,1585872000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.475641,0.208898,1287964800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.552767,-0.753798,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.790241,-0.326778,1490832000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.284461,0.328781,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.466007,-0.633794,1402617600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.685453,-0.562103,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.432222,-0.836201,1361059200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.099838,0.105234,1428710400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.347589,0.080669,1456444800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.214639,-0.669882,1604016000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.259731,0.212864,1443916800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.260269,0.184223,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.785436,-0.305208,1530489600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.789825,-0.297794,1697760000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.216135,0.139174,1607817600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1018310400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.489253,0.202353,1676332800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.712691,-0.250028,1148169600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.068901,-0.195917,801964800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.341136,0.188065,1202515200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.253102,-0.50398,1506643200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.656631,-0.418446,1491350400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.6264,-0.513405,1256169600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.93319,-0.263282,1529452800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.694717,-0.250722,1601251200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.649522,0.506468,1295049600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.819654,-0.187849,1202428800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.250159,-0.289138,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.735327,-0.596725,1277856000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.266122,-0.467722,1656460800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.645244,0.274951,1650758400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1300579200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.647954,0.130533,1256860800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.363989,-0.758928,1180828800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.777726,-0.095304,1360368000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.35459,0.418515,1600214400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.500368,0.325364,1657238400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.349234,-0.299811,1237075200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.599184,0.09215,1333670400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.772608,-0.711519,1175990400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.227202,-0.590751,835488000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.912079,-0.358601,1234742400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.233995,-0.418655,1052006400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.669487,0.182161,1433548800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.681769,-0.287384,1401062400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.81733,-0.042852,1099872000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.466735,0.431641,1651622400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.201652,-0.061904,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.690444,0.262748,1555891200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.23027,0.340368,1214179200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.656631,-0.418446,1693958400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.283238,-0.101492,1612483200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.318059,0.445297,1495411200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.49361,0.209766,1378252800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.695415,-0.011942,1544140800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.470417,-0.626464,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.455731,0.308699,1230940800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.216135,0.139174,1416096000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.412766,-0.340595,1493337600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.49361,0.209766,1297468800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.539607,0.15431,1109635200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.722906,0.438126,1283558400000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.254511,-0.618576,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1432512000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.621065,-0.448574,956361600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.328182,-0.774248,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.697084,-0.113162,767059200000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.201652,-0.061904,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.785436,-0.305208,1209513600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.108566,0.119917,1544745600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.799021,-0.31195,1053993600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.590808,-0.543439,1240444800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.6518,-0.76554,1485820800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.200061,-0.577266,1144281600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1615420800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.411298,-0.239991,,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.080004,-0.338252,1139097600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.225952,-0.490539,1636329600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.25382,-0.561277,1573516800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.765735,-0.190009,1605225600000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.067317,-0.096067,1082764800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.507223,0.20322,1457740800000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.44769,-0.60556,1441584000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.21219,-0.469513,1209600000000,"England","United Kingdom"
"Phasianus colchicus","Pheasant",51.731093,-0.27828,1319328000000,"England","United Kingdom"
