"scientificName","vernacularName","decimalLatitude","decimalLongitude","eventDate","stateProvince","country"
"Scolopax rusticola","Woodcock",51.285888,-0.610465,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.762441,-0.269842,1421798400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.363525,-0.715848,1652486400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.912481,-0.387665,1204070400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.66315,0.49999,1606521600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.326924,-0.65946,1588204800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.377397,-0.751381,1685059200000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.375779,-0.607746,1274745600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.377397,-0.751381,1245715200000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.528809,0.002418,1263772800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.909518,-0.184234,1513382400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.150009,-0.207054,1606348800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.395066,-0.722153,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.161695,0.16526,1488412800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.302575,-0.18677,1323734400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.271621,-0.546386,1641945600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.19266,-0.35567,1436140800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.335914,-0.659198,1588550400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.318059,0.445297,1356825600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.275191,0.34265,1400889600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.259562,-0.317453,1136160000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.414713,-0.48433,1233360000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.380358,-0.614792,1528502400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.769665,-0.153618,1131753600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.928804,-0.270724,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.375779,-0.607746,1211241600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.327465,-0.056605,1578441600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.77604,0.006096,917049600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.340368,0.453664,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.89199,-0.214006,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.084396,-0.330956,1291161600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.31777,-0.645377,1112313600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.44769,-0.60556,1457913600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.286225,-0.639135,1433894400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.466007,-0.633794,1371168000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.728883,-0.133559,1674518400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.683521,0.385373,1199318400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.728883,-0.133559,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.286225,-0.639135,1497139200000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.106969,-0.337285,1479513600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.77604,0.006096,1547251200000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.340814,-0.694948,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.391771,-0.140124,509068800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.86605,0.249764,1198368000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.180257,-0.434802,1371686400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.167379,0.337182,1424304000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.564106,0.285328,1699574400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.735669,-0.625679,,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.326924,-0.65946,1590451200000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.577442,0.293213,1327536000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.73548,-0.270872,1227484800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.747762,-0.190728,1259452800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.424251,-0.527165,1394928000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.497967,-0.034953,1487721600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.375779,-0.607746,1209600000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.808625,-0.355109,1143072000000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.217503,0.303919,1234483200000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.767041,-0.276912,1104278400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.652384,-0.129475,1672790400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.275191,0.34265,1371686400000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.350986,-0.120235,1224892800000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.361687,-0.5579,1622073600000,"England","United Kingdom"
"Scolopax rusticola","Woodcock",51.849714,0.161829,1141776000000,"England","United Kingdom"
